Pose Estimation Results
Timestamp,2025-08-13 22:20:24
Global RMSE (pixels),1358295203840.000000
Global Mean Error (pixels),38514245632.000000
Total Markers,311

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000030_20250813_194649_510.jpg,203,0.833183,0.416937,0.217467,0.144945,0.673737,-2.767,169.883,-20.879
image_000030_20250813_194649_510.jpg,23,0.636714,0.324432,0.067511,0.077540,0.656626,-3.517,173.984,-14.670
image_000030_20250813_194649_510.jpg,98,0.383148,0.193947,-0.092092,-0.045565,0.666988,-2.700,175.869,-17.791
image_000030_20250813_194649_510.jpg,40,0.441240,0.221219,-0.004500,-0.120256,0.685559,-2.238,171.131,-21.570
image_000030_20250813_194649_510.jpg,62,0.535260,0.513078,0.187583,-0.016925,0.686957,164.237,2.238,13.102
image_000039_20250813_194658_750.jpg,40,0.214362,0.112547,-0.057449,-0.136295,0.659436,6.296,175.413,0.545
image_000039_20250813_194658_750.jpg,98,0.521018,0.270869,-0.141583,-0.054030,0.683645,7.308,155.575,-4.035
image_000039_20250813_194658_750.jpg,62,144.313324,110.581085,0.021884,-0.009051,0.105583,115.146,4.542,49.517
image_000039_20250813_194658_750.jpg,23,0.304807,0.156962,0.026179,0.055229,0.708158,3.769,178.727,16.763
image_000039_20250813_194658_750.jpg,124,0.903032,0.462954,-0.099937,0.110624,0.698282,-118.237,126.617,14.361
image_000039_20250813_194658_750.jpg,203,10.875532,10.094327,0.158153,0.097704,0.646336,-13.606,149.582,-84.440
image_000045_20250813_194704_854.jpg,124,0.224238,0.114461,-0.119528,0.111825,0.752984,-117.302,128.490,-8.834
image_000045_20250813_194704_854.jpg,98,1.002757,0.549832,-0.163435,-0.050811,0.769753,8.364,178.483,-18.812
image_000045_20250813_194704_854.jpg,23,0.510471,0.385122,0.003598,0.052742,0.777391,-8.270,-169.913,-20.938
