Pose Estimation Results
Timestamp,2025-08-13 21:44:29
Global RMSE (pixels),0.238772
Global Mean Error (pixels),0.207755
Total Markers,318

Filename,Marker_ID,RMSE,Mean_Error,X_Position,Y_Position,Z_Position,Rotation_X,Rotation_Y,Rotation_Z
image_000052_20250813_194712_062.jpg,124,0.145553,0.145372,-0.082638,0.144612,0.782700,103.237,-113.199,40.104
image_000052_20250813_194712_062.jpg,203,0.153990,0.153391,0.197103,0.137896,0.816991,7.340,172.056,-49.682
image_000052_20250813_194712_062.jpg,23,0.116033,0.115791,0.042234,0.092836,0.817319,-7.890,-176.500,51.572
image_000052_20250813_194712_062.jpg,98,0.244602,0.243979,-0.129774,-0.002089,0.863467,-6.985,-179.464,45.161
image_000052_20250813_194712_062.jpg,62,0.061246,0.061101,0.157784,-0.002763,0.903682,156.877,-7.424,4.967
image_000052_20250813_194712_062.jpg,40,0.201175,0.201028,-0.050664,-0.080510,0.910602,6.135,170.738,-34.611
image_000047_20250813_194706_922.jpg,40,0.230449,0.226306,-0.057758,-0.153944,0.739236,5.025,173.117,31.692
image_000047_20250813_194706_922.jpg,98,0.110181,0.108669,-0.138646,-0.066973,0.735674,-5.895,-178.763,-13.200
image_000047_20250813_194706_922.jpg,124,0.242119,0.240175,-0.098952,0.099829,0.759486,-120.382,131.716,-39.906
image_000047_20250813_194706_922.jpg,62,0.340534,0.336672,0.145733,-0.072084,0.777813,-175.147,6.633,-1.140
image_000047_20250813_194706_922.jpg,23,0.143177,0.141562,0.027897,0.039679,0.765720,5.664,177.375,13.807
image_000047_20250813_194706_922.jpg,203,0.374275,0.372787,0.179918,0.088855,0.785538,6.403,175.195,6.974
image_000044_20250813_194703_822.jpg,124,0.161646,0.160646,-0.124869,0.131766,0.748861,103.923,-122.420,29.865
image_000044_20250813_194703_822.jpg,203,0.160897,0.160467,0.153992,0.103620,0.776495,-17.923,-155.271,-4.721
image_000044_20250813_194703_822.jpg,23,0.168429,0.167479,-0.002625,0.066653,0.768102,14.223,177.668,21.706
image_000044_20250813_194703_822.jpg,98,0.292467,0.291904,-0.178989,-0.021240,0.797156,13.822,176.834,-32.768
image_000044_20250813_194703_822.jpg,62,0.250476,0.249665,0.100393,-0.043576,0.808842,156.922,-11.585,0.174
image_000044_20250813_194703_822.jpg,40,0.354055,0.353280,-0.106782,-0.107869,0.827400,15.020,175.924,-32.930
image_000015_20250813_194634_335.jpg,124,0.081866,0.079957,-0.110559,0.130835,0.674583,113.406,-129.826,31.942
image_000015_20250813_194634_335.jpg,98,0.130450,0.129086,-0.161368,-0.032605,0.685625,10.814,165.524,-17.228
image_000015_20250813_194634_335.jpg,23,0.156786,0.154278,0.009345,0.068241,0.710994,13.679,189.240,1.308
image_000015_20250813_194634_335.jpg,40,0.223861,0.222781,-0.089042,-0.120751,0.712242,-11.804,-192.268,12.955
image_000015_20250813_194634_335.jpg,203,0.201544,0.201007,0.164449,0.112952,0.743073,10.812,168.919,-16.600
image_000015_20250813_194634_335.jpg,62,0.378924,0.377766,0.113770,-0.045600,0.743658,-190.688,10.810,-20.911
image_000019_20250813_194638_371.jpg,124,0.169370,0.168294,-0.048524,0.135233,0.712049,119.898,-121.406,42.574
image_000019_20250813_194638_371.jpg,98,0.290207,0.289107,-0.085096,-0.026772,0.754318,-1.017,160.680,-32.309
image_000019_20250813_194638_371.jpg,23,0.079196,0.079033,0.074476,0.095402,0.773467,0.880,160.755,-31.269
image_000019_20250813_194638_371.jpg,203,0.106052,0.105904,0.222447,0.161737,0.806696,0.880,162.432,-30.322
image_000019_20250813_194638_371.jpg,40,0.147503,0.147229,-0.005890,-0.099264,0.812966,-0.972,161.117,-29.426
image_000019_20250813_194638_371.jpg,62,0.214175,0.214056,0.188940,0.006047,0.854089,-198.822,-0.322,-27.212
image_000038_20250813_194657_718.jpg,203,0.225335,0.221708,0.189214,0.126950,0.692655,-4.874,-174.742,9.960
image_000038_20250813_194657_718.jpg,124,0.304204,0.297512,-0.091219,0.133956,0.713211,125.247,-128.422,31.398
image_000038_20250813_194657_718.jpg,23,0.322175,0.315979,0.038470,0.074926,0.706219,4.443,182.442,-24.075
image_000038_20250813_194657_718.jpg,62,0.252234,0.250090,0.156752,-0.032416,0.717788,172.540,-5.918,-1.603
image_000038_20250813_194657_718.jpg,98,0.171541,0.170498,-0.126993,-0.033781,0.738624,-5.005,-174.543,10.624
image_000038_20250813_194657_718.jpg,40,0.098313,0.097777,-0.043212,-0.118299,0.741345,-4.901,-176.960,13.248
image_000037_20250813_194656_682.jpg,203,0.303965,0.299184,0.185250,0.127693,0.656590,-2.857,-175.966,9.655
image_000037_20250813_194656_682.jpg,62,0.240837,0.236855,0.159881,-0.031093,0.694165,170.513,-2.856,-16.282
image_000037_20250813_194656_682.jpg,23,0.187873,0.186199,0.041184,0.076685,0.698452,-2.888,-163.371,15.792
image_000037_20250813_194656_682.jpg,124,0.120250,0.119857,-0.086354,0.135718,0.727728,113.665,-117.433,-4.221
image_000037_20250813_194656_682.jpg,40,0.163259,0.162788,-0.033590,-0.117773,0.741423,4.135,189.934,-14.445
image_000037_20250813_194656_682.jpg,98,0.182726,0.182362,-0.117176,-0.033878,0.758055,-4.374,-166.576,13.070
image_000030_20250813_194649_510.jpg,124,0.206823,0.203192,-0.063448,0.120017,0.620161,129.250,-126.148,1.958
image_000030_20250813_194649_510.jpg,203,0.385182,0.384364,0.215798,0.143418,0.667644,2.274,-187.362,18.109
image_000030_20250813_194649_510.jpg,23,0.307363,0.304272,0.067029,0.077181,0.654294,-3.329,170.058,-17.454
image_000030_20250813_194649_510.jpg,98,0.209092,0.207323,-0.091150,-0.045250,0.661292,2.935,-180.613,19.984
image_000030_20250813_194649_510.jpg,40,0.214783,0.214001,-0.004306,-0.119839,0.682644,-2.660,172.814,-21.666
image_000030_20250813_194649_510.jpg,62,0.056371,0.056158,0.190680,-0.017205,0.698937,166.182,2.203,9.752
image_000039_20250813_194658_750.jpg,40,0.118150,0.115720,-0.057610,-0.136566,0.660456,-6.636,-183.577,-2.624
image_000039_20250813_194658_750.jpg,98,0.210933,0.208159,-0.141409,-0.054141,0.683642,6.685,158.049,0.881
image_000039_20250813_194658_750.jpg,62,0.342152,0.338603,0.143800,-0.052217,0.691612,-170.760,4.918,-2.054
image_000039_20250813_194658_750.jpg,23,0.129238,0.127794,0.026202,0.055646,0.713603,4.103,180.317,14.193
image_000039_20250813_194658_750.jpg,124,0.446839,0.444415,-0.102581,0.112886,0.714547,-117.623,125.473,8.476
image_000039_20250813_194658_750.jpg,203,0.108732,0.108395,0.175712,0.104740,0.714732,5.359,176.203,19.350
image_000045_20250813_194704_854.jpg,124,0.086841,0.085145,-0.119586,0.111796,0.753496,-115.563,126.247,-9.902
image_000045_20250813_194704_854.jpg,98,0.405026,0.403566,-0.166836,-0.051310,0.785561,7.945,172.267,-20.141
